fk_customer,channel,partner,device,first_sale_number,age,gender,state,expected_delivery_date,delivered_date,first_sale_date,second_sale_date,has_marketplace,has_crossdocking,has_private_label,has_brands,gmv
27022681,FACEBOOKADS - STATIC,FACEBOOK,M+T SITE,94367254,50,male,rio de janeiro,20180503,20180428,20180423,,0,0,1,0,99.00
28631054,DIRECT,UNKNOWN,DESKTOP,4460256975,22,female,paraná,20180831,20180824,20180816,20180816,1,0,0,1,314.88
30758310,COMPARISON,GOOGLE,M+T SITE,4465097254,31,female,rio de janeiro,20190107,20181228,20181225,20181225,1,0,0,1,137.79
26187847,DIRECT,UNKNOWN,DESKTOP,13376664,30,male,acre,20180302,20180221,20180209,,0,0,0,1,199.00
2004706,CRM - APPPUSH,EXCHANGED,APP ANDROID,4463570945,35,female,pernambuco,20181213,20181130,20181121,20190111,0,0,1,1,559.84
29990821,AFFILIATES - GENERAL,ZANOX,DESKTOP,4463396628,45,male,goiás,20181210,20181127,20181118,,1,0,0,0,139.79
27403948,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,63827114,58,male,são paulo,20180524,20180524,20180520,,0,0,1,0,89.99
29470450,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,3092860,35,female,paraná,20181108,20181030,20181022,,0,0,0,1,119.96
29182305,ORGANIC,GOOGLE,DESKTOP,4461692801,18,female,ceará,20181015,20181010,20180930,,0,0,0,1,279.98
31817216,DIRECT,DIRECT,APP IOS,11410921,26,female,rio grande do sul,20190403,20190401,20190318,20190920,0,0,0,1,64.99
639489,DISPLAY,APPLIFT,APP ANDROID,221969,41,female,goiás,20180704,20180628,20180611,,0,0,1,1,333.96
23912485,SEM BRAND,GOOGLE,DESKTOP,4474789901,25,female,rio grande do sul,20191030,,20191009,20191009,1,0,0,1,82.98
30398694,SEM BRAND,GOOGLE,DESKTOP,4464401499,35,female,são paulo,20181213,20181206,20181204,20181204,1,0,1,0,132.79
1015620,DIRECT,UNKNOWN,DESKTOP,4459586870,41,female,mato grosso,20180823,20180813,20180730,,0,0,0,1,244.96
29943361,EXCHANGED,EXCHANGED,APP ANDROID,4980514,41,female,são paulo,20181126,20181123,20181116,20190103,0,0,0,1,289.99
32541171,CRM - EMAIL,OTHER,DESKTOP,4468969768,40,female,minas gerais,20190513,20190510,20190502,,0,0,0,1,58.98
27483163,FACEBOOKADS - STATIC,FACEBOOK,DESKTOP,56889234,20,male,bahia,20180620,20180606,20180524,20180613,1,0,0,0,99.00
